Datum;Časová zóna;Typ;Detail;Částka [CZK];Název projektu;Odkaz na projekt;Typ projektu
2025-04-01 14:01:47;+02:00;Investice;Investice do příležitosti;-5000,00;Rezidence Bohdalice 1: 3. etapa;https://b3130.preview.investown.net/property/bohdalice-rezidence-bohdalice-1:-3.-etapa-517;crowdfunding
2025-04-01 14:00:53;+02:00;Investice;Investice do příležitosti;-500,00;Rezidence Bohdalice 1: 3. etapa;https://b3130.preview.investown.net/property/bohdalice-rezidence-bohdalice-1:-3.-etapa-517;crowdfunding
2025-04-01 14:00:26;+02:00;Autoinvestice;Autoinvestice do příležitosti;-1500,00;Rezidence Bohdalice 1: 3. etapa;https://b3130.preview.investown.net/property/bohdalice-rezidence-bohdalice-1:-3.-etapa-517;crowdfunding
2025-04-01 13:59:52;+02:00;Investice;Investice do příležitosti;-500,00;Rezidence Bohdalice 1: 3. etapa;https://b3130.preview.investown.net/property/bohdalice-rezidence-bohdalice-1:-3.-etapa-517;crowdfunding
2025-04-01 13:59:43;+02:00;Vklad peněz;Bankovní převod;10000,00;;;
2025-03-30 15:38:43;+02:00;Výnos;Výnos z investice;5,71;Areál Hladov – 4. etapa;https://b3130.preview.investown.net/property/hladov-areal-hladov-4.-etapa-20;crowdfunding
2025-03-30 15:05:17;+02:00;Bonusový výnos;Bonusový výnos podle úrovně;1,67;Martincův mlýn 2: 2. etapa;https://b3130.preview.investown.net/property/zlin-martincuv-mlyn-2:-2.-etapa-115;crowdfunding
2025-03-30 15:05:16;+02:00;Výnos;Výnos z investice;16,66;Martincův mlýn 2: 2. etapa;https://b3130.preview.investown.net/property/zlin-martincuv-mlyn-2:-2.-etapa-115;crowdfunding
2025-03-30 14:15:57;+02:00;Výnos;Výnos z investice;13,59;Bytové domy v Děčíně – 1. etapa;https://b3130.preview.investown.net/property/decin-bytove-domy-v-decine-1.-etapa-554;crowdfunding
2025-03-29 18:00:00;+01:00;Výnos;Výnos z investice;13,84;RD Dolní Loučky – 1. tranše (E2) ;https://b3130.preview.investown.net/property/dolni-loucky-brno-venkov-rd-dolni-loucky-1.-transe-e2-498;crowdfunding
2025-03-28 16:00:00;+01:00;Smluvní pokuta;Úroky z prodlení partnera;0,15;Skladové areály Vimperk 1: 3. etapa;https://b3130.preview.investown.net/property/vimperk-skladove-arealy-vimperk-1:-3.-etapa-90;crowdfunding
2025-03-28 15:56:58;+01:00;Zákonné úroky z prodlení;Zákonné úroky z prodlení partnera;0,02;Skladové areály Vimperk 1: 3. etapa;https://b3130.preview.investown.net/property/vimperk-skladove-arealy-vimperk-1:-3.-etapa-90;crowdfunding
2025-03-28 15:46:07;+01:00;Výnos;Výnos z investice;3,95;Forest Views II;https://b3130.preview.investown.net/property/babice-u-rehenic-forest-views-ii-487;crowdfunding
2025-03-28 12:07:43;+01:00;Výnos;Výnos z investice;14,83;Rodinné domy v Libeži – 1. etapa;https://b3130.preview.investown.net/property/libez-rodinne-domy-v-libezi-1.-etapa-606;crowdfunding
2025-03-28 11:56:50;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;1,19;Terasy Březová alej – 4. tranše;https://b3130.preview.investown.net/property/liberec-terasy-brezova-alej-4.-transe-538;crowdfunding
2025-03-28 11:56:49;+01:00;Výnos;Výnos z investice;11,88;Terasy Březová alej – 4. tranše;https://b3130.preview.investown.net/property/liberec-terasy-brezova-alej-4.-transe-538;crowdfunding
2025-03-27 20:53:06;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;1,84;Skladové areály Vimperk 1: 3. etapa;https://b3130.preview.investown.net/property/vimperk-skladove-arealy-vimperk-1:-3.-etapa-90;crowdfunding
2025-03-27 20:53:06;+01:00;Výnos;Výnos z investice;17,27;Skladové areály Vimperk 1: 3. etapa;https://b3130.preview.investown.net/property/vimperk-skladove-arealy-vimperk-1:-3.-etapa-90;crowdfunding
2025-03-27 13:48:26;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,83;Apartmány Ladná 1: 4. etapa;https://b3130.preview.investown.net/property/ladna-apartmany-ladna-1:-4.-etapa-976;crowdfunding
2025-03-27 13:48:26;+01:00;Výnos;Výnos z investice;8,08;Apartmány Ladná 1: 4. etapa;https://b3130.preview.investown.net/property/ladna-apartmany-ladna-1:-4.-etapa-976;crowdfunding
2025-03-27 13:47:20;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,46;Apartmány Klecanda 2: 2. etapa;https://b3130.preview.investown.net/property/strazne-apartmany-klecanda-2:-2.-etapa-436;crowdfunding
2025-03-27 13:47:19;+01:00;Výnos;Výnos z investice;4,34;Apartmány Klecanda 2: 2. etapa;https://b3130.preview.investown.net/property/strazne-apartmany-klecanda-2:-2.-etapa-436;crowdfunding
2025-03-27 12:28:09;+01:00;Výnos;Výnos z investice;43,74;Residence Lípové sady 2. etapa;https://b3130.preview.investown.net/property/rousinov-residence-lipove-sady-2.etapa-777;crowdfunding
2025-03-27 12:28:06;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,97;Rodinný dům Trutnov 1: 1. etapa;https://b3130.preview.investown.net/property/trutnov-rodinny-dum-trutnov-1:-1.-etapa-569;crowdfunding
2025-03-27 12:28:05;+01:00;Výnos;Výnos z investice;9,18;Rodinný dům Trutnov 1: 1. etapa;https://b3130.preview.investown.net/property/trutnov-rodinny-dum-trutnov-1:-1.-etapa-569;crowdfunding
2025-03-27 09:02:47;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,84;Na Křížení cest 1: 1. etapa;https://b3130.preview.investown.net/property/vejprnice-na-krizeni-cest-1:-1.-etapa-536;crowdfunding
2025-03-27 09:02:47;+01:00;Výnos;Výnos z investice;7,44;Na Křížení cest 1: 1. etapa;https://b3130.preview.investown.net/property/vejprnice-na-krizeni-cest-1:-1.-etapa-536;crowdfunding
2025-03-27 09:01:38;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,85;Na Křížení cest 1: 4. etapa;https://b3130.preview.investown.net/property/vejprnice-na-krizeni-cest-1:-4.-etapa-430;crowdfunding
2025-03-27 09:01:38;+01:00;Výnos;Výnos z investice;7,54;Na Křížení cest 1: 4. etapa;https://b3130.preview.investown.net/property/vejprnice-na-krizeni-cest-1:-4.-etapa-430;crowdfunding
2025-03-26 17:57:13;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,42;Bytový dům Praha-Hlaváčkova 1: 1. etapa;https://b3130.preview.investown.net/property/praha-bytovy-dum-praha-hlavackova-1:-1.-etapa-136;crowdfunding
2025-03-26 17:57:12;+01:00;Výnos;Výnos z investice;3,62;Bytový dům Praha-Hlaváčkova 1: 1. etapa;https://b3130.preview.investown.net/property/praha-bytovy-dum-praha-hlavackova-1:-1.-etapa-136;crowdfunding
2025-03-26 17:52:22;+01:00;Výnos;Výnos z investice;5,09;Rezidenční bydlení Libochovice – 4. tranše ;https://b3130.preview.investown.net/property/libochovice-rezidencni-bydleni-libochovice-4.-transe-645;crowdfunding
2025-03-26 17:05:52;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,44;Rotunda Bratislava 1: 5. etapa;https://b3130.preview.investown.net/property/bratislava-rotunda-bratislava-1:-5.-etapa-224;crowdfunding
2025-03-26 17:05:52;+01:00;Výnos;Výnos z investice;4,24;Rotunda Bratislava 1: 5. etapa;https://b3130.preview.investown.net/property/bratislava-rotunda-bratislava-1:-5.-etapa-224;crowdfunding
